hour,avg_deviation_pct
0,-1.0721673869722423
1,1.480487935099351
2,1.3888616555028646
3,1.3287770212607453
4,1.0251086498944304
5,0.8515770469002991
6,0.5427528008814739
7,-0.36972181334384757
8,-0.8070216263888045
9,-0.9691203456574686
10,-0.7303003254834352
11,-1.07393339818477
12,-1.1482820873510422
13,-1.0535847015402038
14,-0.9975794014334483
15,-1.1054833019313948
16,-0.878574971815038
17,-0.6715941474327485
18,-0.5927568616476943
19,-0.12148816007838573
20,0.29588468483052005
21,1.1449256774250325
22,1.314718986896828
23,2.1259308810279975
